	version	model	descr	fcst_lead	fcst_valid_beg	fcst_valid_end	fcst_init_beg	obs_lead	obs_valid_beg	obs_valid_end	fcst_var	fcst_units	fcst_lev	obs_var	obs_units	obs_lev	obtype	vx_mask	interp_mthd	interp_pnts	fcst_thresh	obs_thresh	cov_thresh	alpha	line_type	total	n_thresh	thresh_i	oy_i	on_i	i_value
104	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	140000	2022-05-06 14:00:00	2022-05-06 14:00:00	2022-05-06	0	2022-05-06 13:30:01	2022-05-06 14:30:00	WIND_ENS_FREQ_ge5	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	BILIN	4	==0.10000	>=5	-9999	-9999	PCT	4178	10	0	82	2146	1
105	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	140000	2022-05-06 14:00:00	2022-05-06 14:00:00	2022-05-06	0	2022-05-06 13:30:01	2022-05-06 14:30:00	WIND_ENS_FREQ_ge10	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	BILIN	4	==0.10000	>=10	-9999	-9999	PCT	4178	10	0	14	4074	1
106	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	140000	2022-05-06 14:00:00	2022-05-06 14:00:00	2022-05-06	0	2022-05-06 13:30:01	2022-05-06 14:30:00	WIND_ENS_FREQ_ge15	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	BILIN	4	==0.10000	>=15	-9999	-9999	PCT	4178	10	0	2	4175	1
107	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	140000	2022-05-06 14:00:00	2022-05-06 14:00:00	2022-05-06	0	2022-05-06 13:30:01	2022-05-06 14:30:00	TMP_ENS_FREQ_ge273	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=273	-9999	-9999	PCT	4281	10	0	0	0	1
108	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	140000	2022-05-06 14:00:00	2022-05-06 14:00:00	2022-05-06	0	2022-05-06 13:30:01	2022-05-06 14:30:00	TMP_ENS_FREQ_ge278	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=278	-9999	-9999	PCT	4281	10	0	3	20	1
109	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	140000	2022-05-06 14:00:00	2022-05-06 14:00:00	2022-05-06	0	2022-05-06 13:30:01	2022-05-06 14:30:00	TMP_ENS_FREQ_ge293	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=293	-9999	-9999	PCT	4281	10	0	35	3094	1
110	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	140000	2022-05-06 14:00:00	2022-05-06 14:00:00	2022-05-06	0	2022-05-06 13:30:01	2022-05-06 14:30:00	TMP_ENS_FREQ_ge298	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=298	-9999	-9999	PCT	4281	10	0	21	3829	1
111	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	140000	2022-05-06 14:00:00	2022-05-06 14:00:00	2022-05-06	0	2022-05-06 13:30:01	2022-05-06 14:30:00	TMP_ENS_FREQ_ge303	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=303	-9999	-9999	PCT	4281	10	0	3	4275	1
112	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	140000	2022-05-06 14:00:00	2022-05-06 14:00:00	2022-05-06	0	2022-05-06 13:30:01	2022-05-06 14:30:00	DPT_ENS_FREQ_ge263	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=263	-9999	-9999	PCT	4210	10	0	0	3	1
113	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	140000	2022-05-06 14:00:00	2022-05-06 14:00:00	2022-05-06	0	2022-05-06 13:30:01	2022-05-06 14:30:00	DPT_ENS_FREQ_ge268	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=268	-9999	-9999	PCT	4210	10	0	12	89	1
